strategy_name,period_freq,period_label,period_start_equity,period_end_equity,period_return,trade_count,win_rate,max_drawdown,profit_factor,schedule_name,cost_scenario_name,description
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2023Q1,100467.74333717828,100386.01354171784,-0.0008134928957860277,1,0.0,-0.0008134928957860277,0.0,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2023Q2,100386.01354171784,100206.94176993017,-0.0017838318852382296,1,0.0,-0.0017838318852382296,0.0,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2023Q3,100206.94176993017,100166.33323542231,-0.0004052467203429222,1,0.0,-0.0004052467203429222,0.0,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2024Q2,100166.33323542231,100037.58522511875,-0.0012853421518481678,2,0.0,-0.0012853421518481678,0.0,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2024Q3,100037.58522511875,101251.20107706319,0.012131598830713353,5,0.4,-0.0008434582180673056,15.249395684309011,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2025Q1,101251.20107706319,102896.22846294695,0.01624699132834695,5,0.4,-0.0030591364164533896,5.25833957858207,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2025Q2,102896.22846294695,102408.17301960783,-0.004743181073102898,3,0.0,-0.004743181073102898,0.0,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2025Q3,102408.17301960783,102250.72141164835,-0.0015374906447098713,1,0.0,-0.0015374906447098713,0.0,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2025Q4,102250.72141164835,101991.11738399598,-0.0025388967830088927,6,0.16666666666666666,-0.006999786580169198,0.7127168734745348,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2026Q1,101991.11738399598,103898.52369514582,0.018701690500835255,6,0.16666666666666666,-0.00946659497115565,2.920919515682495,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2026Q2,103898.52369514582,103848.65721175147,-0.0004799537242767826,1,0.0,-0.0004799537242767826,0.0,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__base_cost,Q,2021Q2,100000.0,99976.51725768518,-0.0002348274231482872,1,0.0,-0.0002348274231482872,0.0,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2021Q4,99976.51725768518,100278.92488588669,0.0030247865848544997,1,1.0,0.0,999.0,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2022Q1,100278.92488588669,100629.23997248533,0.003493406884819361,6,0.3333333333333333,-0.0064829567324464765,1.2986434531021052,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2022Q2,100629.23997248533,100970.99795736975,0.003396209540863726,3,0.6666666666666666,-0.0006894101898888838,5.926253761075074,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2022Q3,100970.99795736975,100856.05044817417,-0.0011384210468446954,7,0.42857142857142855,-0.0019233759817862683,0.7426951693164686,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2022Q4,100856.05044817417,100767.68711066355,-0.0008761332326414628,2,0.0,-0.0008761332326414628,0.0,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2023Q1,100767.68711066355,100698.84672734045,-0.0006831593072836872,1,0.0,-0.0006831593072836872,0.0,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2023Q2,100698.84672734045,100505.4273663415,-0.001920770369125191,1,0.0,-0.001920770369125191,0.0,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2023Q3,100505.4273663415,100471.4786547344,-0.0003377798840987767,1,0.0,-0.0003377798840987767,0.0,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
