split_label,sample_type,strategy_name,schedule_name,cost_scenario_name,total_return,annual_return,max_drawdown,profit_factor,trade_count,average_R,win_rate,sharpe,sortino,calmar
2023_test,train,v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,0.004599258921755389,0.0015097145537972256,-0.006788231014731139,1.2708562895995505,21,0.043947770678986774,0.3333333333333333,0.07853489005979726,0.012748372501773903,0.22240176424770966
2023_test,train,v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,0.005359107908641247,0.0017586894456427249,-0.007671674414680085,1.278218936830883,21,0.043947770678986774,0.3333333333333333,0.07815278912500395,0.012428158923202287,0.22924453653525698
2023_test,train,v8_e_strong_1_25_weak_0_75__stress_cost_2_0x,v8_e_strong_1_25_weak_0_75,stress_cost_2_0x,0.00494531324173475,0.0016231196446792051,-0.007966263813820929,1.2494218329651812,21,0.043947770678986774,0.3333333333333333,0.0782214184757171,0.013026842957016749,0.20374917057896105
2023_test,train,v8_f_strong_1_5_weak_0_75__stress_cost_2_0x,v8_f_strong_1_5_weak_0_75,stress_cost_2_0x,0.005705423973811019,0.001872122728982628,-0.008848659375500278,1.2580266026535454,21,0.043947770678986774,0.3333333333333333,0.07861961151706143,0.013011650665493492,0.2115713408706936
2024_test,test,v8_a_flat_1_0__base_cost,v8_a_flat_1_0,base_cost,0.008425262459741845,0.008431057446065982,-0.0014371206661497604,4.640889504056738,7,0.24071208533427865,0.42857142857142855,0.4099653333883093,0.14155647649906342,5.866631553392047
2024_test,test,v8_b_strong_1_0_weak_0_5__base_cost,v8_b_strong_1_0_weak_0_5,base_cost,0.009110859395674353,0.009117128071173042,-0.0008660957193717955,6.73153593888101,7,0.24071208533427865,0.42857142857142855,0.4470024386977174,0.2169014895805808,10.526697993364937
2024_test,test,v8_c_strong_1_25_weak_0_5__base_cost,v8_c_strong_1_25_weak_0_5,base_cost,0.011562545951487646,0.011570511144509688,-0.0010823531412778031,7.398464657792804,7,0.24071208533427865,0.42857142857142855,0.4541659772501082,0.22883655466586655,10.690144189769512
2024_test,test,v8_d_strong_1_5_weak_0_5__base_cost,v8_d_strong_1_5_weak_0_5,base_cost,0.014015918286854667,0.014025585240853733,-0.0012986105631839218,7.922944283915885,7,0.24071208533427865,0.42857142857142855,0.45888916333740215,0.23440877534299112,10.800455223824708
2024_test,test,v8_e_strong_1_25_weak_0_75__base_cost,v8_e_strong_1_25_weak_0_75,base_cost,0.011218908756809975,0.011226635914197702,-0.0010828855808080462,6.170151482853466,7,0.24071208533427865,0.42857142857142855,0.43974955698553286,0.20215703752561112,10.367333459016434
2024_test,test,v8_f_strong_1_5_weak_0_75__base_cost,v8_f_strong_1_5_weak_0_75,base_cost,0.013671447658801572,0.013680875427918737,-0.0012991428874453703,6.724995375680931,7,0.24071208533427865,0.42857142857142855,0.44700243869770895,0.21690148958056768,10.530693398030111
2024_test,test,v8_a_flat_1_0__stress_cost_1_5x,v8_a_flat_1_0,stress_cost_1_5x,0.00798354468247009,0.007989034648588023,-0.0015451234232614075,4.128329157458406,7,0.22817417485845023,0.42857142857142855,0.39258934279205043,0.1370505946255847,5.170483165496883
2024_test,test,v8_b_strong_1_0_weak_0_5__stress_cost_1_5x,v8_b_strong_1_0_weak_0_5,stress_cost_1_5x,0.008793118724538473,0.008799167828548837,-0.0009554979244763562,6.07317237545339,7,0.22817417485845023,0.42857142857142855,0.43636627420036095,0.20786595309843367,9.208986857162527
2024_test,test,v8_c_strong_1_25_weak_0_5__stress_cost_1_5x,v8_c_strong_1_25_weak_0_5,stress_cost_1_5x,0.011195800004987655,0.011203511157939383,-0.0011840608243576245,6.7030966172092965,7,0.22817417485845023,0.42857142857142855,0.4448738580659043,0.2174969739086804,9.46193888647359
2024_test,test,v8_d_strong_1_5_weak_0_5__stress_cost_1_5x,v8_d_strong_1_5_weak_0_5,stress_cost_1_5x,0.013600031629999787,0.01360940982108505,-0.0014126237242387818,7.20168129647746,7,0.22817417485845023,0.42857142857142855,0.4504901282647689,0.2214788024832117,9.634136527346467
