strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,exit_rule_name,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee,signal_time,is_strong_regime,risk_schedule_name,risk_multiplier,cost_scenario_name
v5_a_baseline,2025-04-08 16:00:00+00:00,78484.3,2025-04-09 20:00:00+00:00,82348.86648,83117.39507610512,0.05606108389068221,4399.91492640147,0.08469964323069643,259.73633173503583,-220.25837829177385,-0.8480075806894257,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2025-04-08 12:00:00+00:00,11643,11650,11642,103894.53269401434,103674.27431572256,1.7599659705605881,1.8466266848151474,2025-04-08 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2025-04-10 16:00:00+00:00,78752.2464,2025-04-11 04:00:00+00:00,80863.6695,85722.54433798046,0.11155291556923098,8785.042693546475,0.05649130575243193,777.5570573679192,-242.65765112118325,-0.31207697084326524,close_above_ema21,ema21_reclaim,4,0.6666666666666666,2025-04-10 12:00:00+00:00,11655,11658,11654,103674.27431572256,103431.61666460137,3.51401707741859,3.6082312385406796,2025-04-10 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2025-09-02 12:00:00+00:00,109686.75826,2025-09-02 16:00:00+00:00,110816.35884,111860.1206540534,0.11897649576021414,13050.146129072524,0.25234346227789034,258.5790416615034,-144.88979388781013,-0.560330771422226,close_above_ema21,ema21_reclaim,2,0.3333333333333333,2025-09-02 08:00:00+00:00,12524,12525,12523,103431.61666460137,103286.72687071357,5.22005845162901,5.2738168190758525,2025-09-02 08:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2025-10-22 00:00:00+00:00,108221.45138000001,2025-10-23 08:00:00+00:00,109251.74597999999,115927.22948918214,0.03350950592116006,3626.447365814646,0.07022097564102221,258.21681717678393,-37.43963075708996,-0.14499299916417732,close_above_ema21,ema21_reclaim,9,1.5,2025-10-21 20:00:00+00:00,12821,12829,12820,103286.72687071357,103249.28723995648,1.4505789463258585,1.464388811525554,2025-10-21 20:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2025-11-12 16:00:00+00:00,102102.77536,2025-11-13 08:00:00+00:00,103443.1845,108967.87939172944,0.11279794897799919,11516.983645569393,0.07436360387846777,774.3696542996737,-160.469466860533,-0.2072259236522624,close_above_ema21,ema21_reclaim,5,0.8333333333333333,2025-11-12 12:00:00+00:00,12951,12955,12950,103249.28723995648,103088.81777309594,4.606793458227758,4.667271618941102,2025-11-12 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2025-11-13 16:00:00+00:00,101301.83558000001,2025-11-23 16:00:00+00:00,87050.60664,106853.13417281146,0.04642554172216068,4702.992594250752,0.09124156617262394,257.72204443273984,658.1232780801323,2.553616550453405,close_above_ema21,ema21_reclaim,61,10.166666666666666,2025-11-13 12:00:00+00:00,12957,13017,12956,103088.81777309594,103746.94105117608,1.8811970377003007,1.6165486282018868,2025-11-13 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2025-12-15 16:00:00+00:00,86967.00312,2025-12-18 16:00:00+00:00,88497.29592,91615.23164384541,0.16739754809647495,14558.063087586488,0.09354854507890384,778.1020578838206,-267.91617996479613,-0.34432010203576535,close_above_ema21,ema21_reclaim,19,3.1666666666666665,2025-12-15 12:00:00+00:00,13149,13167,13148,103746.94105117608,103479.02487121128,5.823225235034595,5.925692140070471,2025-12-15 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2025-12-18 20:00:00+00:00,84416.1134,2025-12-19 08:00:00+00:00,87927.48198,91888.41780649041,0.10386256291432318,8767.67388899014,0.05648599736292631,776.0926865340846,-371.8597590628415,-0.479143490867711,close_above_ema21,ema21_reclaim,4,0.6666666666666666,2025-12-18 16:00:00+00:00,13168,13171,13167,103479.02487121128,103107.16511214845,3.5070695555960563,3.652949451618307,2025-12-18 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2025-12-26 16:00:00+00:00,87077.38104000001,2025-12-28 00:00:00+00:00,87851.0667,90639.14196764816,0.2171127580007818,18905.610357079386,0.12223922774274691,773.3037383411134,-183.16870656490343,-0.23686515075930686,close_above_ema21,ema21_reclaim,9,1.5,2025-12-26 12:00:00+00:00,13215,13223,13214,103107.16511214845,102923.99640558354,7.562244142831755,7.6294349538190565,2025-12-26 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2026-01-29 04:00:00+00:00,87992.398,2026-02-07 04:00:00+00:00,70892.27562,91698.14648661288,0.20830608872417955,18329.35226484132,0.11872419069706837,771.9299730418767,3548.820951714609,4.597335348606923,close_above_ema21,ema21_reclaim,55,9.166666666666666,2026-01-29 00:00:00+00:00,13416,13470,13415,102923.99640558354,106472.81735729815,7.331740905936528,5.906917062063485,2026-01-29 00:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2026-02-07 08:00:00+00:00,68064.3844,2026-02-08 12:00:00+00:00,70966.99056,74282.78795802436,0.04280552732055451,2913.531865990924,0.054728182052585034,266.18204339324535,-126.62811181039606,-0.4757199629102005,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2026-02-07 04:00:00+00:00,13471,13478,13470,106472.81735729815,106346.18924548775,1.1654127463963695,1.2151117813094456,2026-02-07 04:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2026-02-27 12:00:00+00:00,66078.7816,2026-02-28 20:00:00+00:00,66335.46444,71360.92896252786,0.15099851719385862,9977.79803957683,0.06254916520198794,797.596419341158,-46.75647015206068,-0.05862171521617803,close_above_ema21,ema21_reclaim,9,1.5,2026-02-27 08:00:00+00:00,13592,13600,13591,106346.18924548775,106299.43277533569,3.9911192158307314,4.006622707122376,2026-02-27 08:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2026-03-01 20:00:00+00:00,65917.41388000001,2026-03-02 04:00:00+00:00,66806.05854,69518.81918294619,0.22137073690729,14592.186485638427,0.09151623926648211,797.2457458150177,-208.47236039073002,-0.2614907153598047,close_above_ema21,ema21_reclaim,3,0.5,2026-03-01 16:00:00+00:00,13606,13608,13605,106299.43277533569,106090.96041494496,5.836874594255371,5.9155625635485425,2026-03-01 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2026-03-30 20:00:00+00:00,66508.1957,2026-03-31 04:00:00+00:00,67697.33676,69158.79634078039,0.30018939513944326,19965.055038998722,0.12545872561250598,795.6822031120873,-373.0823665822929,-0.4688836386224124,close_above_ema21,ema21_reclaim,3,0.5,2026-03-30 16:00:00+00:00,13780,13782,13779,106090.96041494496,105717.87804836266,7.986022015599489,8.12880902981424,2026-03-30 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2026-03-31 12:00:00+00:00,66640.16930000001,2026-03-31 20:00:00+00:00,67821.96168,69415.68483676147,0.28567092306313496,19037.15867701459,0.12005007433278017,792.88408536272,-352.96848849321185,-0.4451703534088966,close_above_ema21,ema21_reclaim,3,0.5,2026-03-31 08:00:00+00:00,13784,13786,13783,105717.87804836266,105364.90955986945,7.614863470805838,7.749904958831267,2026-03-31 08:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2026-04-02 04:00:00+00:00,66528.1917,2026-04-04 12:00:00+00:00,67143.32598,70415.28999345003,0.06776578671641445,4508.335249370934,0.08557564882280376,263.41227389967366,-45.30840064329998,-0.17200565475759372,close_above_ema21,ema21_reclaim,15,2.5,2026-04-02 00:00:00+00:00,13794,13808,13793,105364.90955986945,105319.60115922615,1.8033340997483738,1.8200081231165477,2026-04-02 00:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
