mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
fixed,ETH-USDT-SWAP,15m,15分钟,做空,21,1,2,3,6,85,30.59,1093.2087,10.93,0.1287,1256.4115,10.89,1.1701,2.6552,11093.21,506.5455,149.1534,357.3922,26,59,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,BNB-USDT-SWAP,15m,15分钟,做多,55,1,2,2,4,99,44.44,1689.3920,16.89,0.1730,1089.3894,8.86,1.2714,1.5892,11689.39,976.1080,286.8084,689.2996,44,55,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | TP x4 | 每波开仓1
fixed,BNB-USDT-SWAP,15m,15分钟,做空,55,1,2,3,6,85,31.76,1050.8031,10.51,0.1276,1550.5858,13.40,1.1621,2.4965,11050.80,769.4969,226.5154,542.9816,27,58,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | TP x6 | 每波开仓1
fixed,SOL-USDT-SWAP,15m,15分钟,做多,55,1,2,2,4,93,31.18,-1530.5286,-15.31,-0.1646,3324.4758,28.99,0.7824,1.7267,8469.47,567.6311,167.0523,400.5788,29,64,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | TP x4 | 每波开仓1
fixed,SOL-USDT-SWAP,15m,15分钟,做空,21,1,2,2,4,113,41.59,1722.0334,17.22,0.1524,1709.7418,14.24,1.2384,1.7391,11722.03,654.5381,192.7629,461.7753,47,66,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x4 | 每波开仓1
fixed,DOGE-USDT-SWAP,15m,15分钟,做多,21,1,1.5,3,4.5,108,23.15,-2018.9205,-20.19,-0.1869,4160.9391,41.61,0.7815,2.5944,7981.08,765.9610,225.4153,540.5457,25,83,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1
fixed,DOGE-USDT-SWAP,15m,15分钟,做空,21,1,2,2,4,121,39.67,1231.7172,12.32,0.1018,1247.5736,10.68,1.1546,1.7560,11231.72,662.4024,195.0248,467.3776,48,73,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x4 | 每波开仓1
fixed,BTC-USDT-SWAP,1H,1小时,做多,55,1,2,3,6,86,25.58,-457.8107,-4.58,-0.0516,1191.3800,11.85,0.9298,2.7049,9542.19,385.8577,113.4952,272.3625,22,64,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | TP x6 | 每波开仓1
fixed,BTC-USDT-SWAP,1H,1小时,做空,21,1,1.5,3,4.5,128,27.34,58.1696,0.58,-0.0004,1314.2534,11.59,1.0060,2.6731,10058.17,726.4384,213.7414,512.6970,35,93,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1
fixed,ETH-USDT-SWAP,1H,1小时,做多,55,1,1.5,3,4.5,116,32.76,2868.6346,28.69,0.2473,863.7053,6.71,1.3475,2.7659,12868.63,458.6419,134.5424,324.0995,38,78,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x1.5 | TP x4.5 | 每波开仓1
