mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
dynamic,SOL-USDT-SWAP,5m,5分钟,做多,21,1,2,-,-,105,23.81,-2049.4889,-20.49,-0.1952,4600.4483,40.00,0.7671,2.4548,7950.51,1308.9168,385.0539,923.8629,0,105,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,SOL-USDT-SWAP,5m,5分钟,做空,21,1,2,-,-,100,24.00,525.7337,5.26,0.0526,1803.1721,14.63,1.0648,3.3717,10525.73,1339.5743,394.1899,945.3844,0,100,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,DOGE-USDT-SWAP,5m,5分钟,做多,21,1,1.5,-,-,140,25.00,-1019.5957,-10.20,-0.0728,3476.8416,29.93,0.9145,2.7436,8980.40,2391.6767,703.2890,1688.3876,0,140,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1
dynamic,DOGE-USDT-SWAP,5m,5分钟,做空,21,1,2,-,-,114,23.68,200.7134,2.01,0.0176,2401.6809,19.06,1.0217,3.2921,10200.71,1516.3806,446.1761,1070.2045,0,114,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,15m,15分钟,做多,21,1,2,-,-,101,21.78,-942.6094,-9.43,-0.0991,2809.6676,24.26,0.8766,3.1476,9057.39,941.5214,276.9182,664.6033,0,101,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,15m,15分钟,做空,55,1,2,-,-,85,28.24,3005.4845,30.05,0.3549,738.2577,5.48,1.5385,3.9104,13005.48,651.7395,192.0753,459.6642,0,85,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,ETH-USDT-SWAP,15m,15分钟,做多,21,1,2,-,-,97,25.77,63.9465,0.64,0.0066,1910.3103,17.74,1.0087,2.9049,10063.95,682.9691,200.7942,482.1749,0,97,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,ETH-USDT-SWAP,15m,15分钟,做空,21,1,2,-,-,95,27.37,2900.0830,29.00,0.3057,1284.3438,9.62,1.4354,3.8094,12900.08,586.7154,172.9326,413.7829,0,95,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BNB-USDT-SWAP,15m,15分钟,做多,55,1,2,-,-,89,26.97,1535.5575,15.36,0.1723,1250.3743,10.02,1.2511,3.3883,11535.56,867.7425,254.9639,612.7786,0,89,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BNB-USDT-SWAP,15m,15分钟,做空,55,1,1,-,-,145,24.14,1998.8233,19.99,0.1409,4519.2867,37.66,1.1529,3.6234,11998.82,2714.1767,798.7863,1915.3904,0,145,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓1
